,IDEA,MAXI,UNIVEREXPORT,TEMPO,DIS,RODA,LIDL
"NIKŠIĆKO 0,5l","71,99","84,99","71,99","82,99","83,99","71,99","80,99"
"NIKŠIĆKO limenka 4x0,5l pack","287,99","337,99","351,99","329,99","339,99","287,99",-
"PERONI limenka 0,5l","107,99","93,99","89,99","92,99","102,99","99,99",-
"Pivo LOWENBRAU limenka 0,5l","70,99","68,99","80,99","67,99","65,99","68,99","65,99"
"STAROPRAMEN nefiltrirano limenka 0,5l","114,99","114,99","78,99","109,99",-,"109,99",-
"STELLA ARTOIS limenka 0,5l","157,99","92,00","89,99","88,00","114,99","115,99",-
TUBORG Green 500ml 4+2 gratis,"451,99","423,96","363,99","379,00","399,99",-,-
"ZAJEČARSKO 0,5l","71,99","82,99","82,99","77,99","79,99","71,99",-
"ZAJEČARSKO extra limenka 0,33l",-,-,-,-,-,"61,99",-
"ZAJEČARSKO limenka 0,33l","49,99","65,99","61,99","63,99","58,99","49,99",-
JELEN 1l,-,"139,99","99,99","122,99","123,99","127,99",-
LAV 2l,"171,99","198,99","196,99","194,99","206,99","171,99",-
Pivo APATINSKO 2l,-,"197,99","192,99","190,99","222,99","212,99",-
"AMSTEL 0,33l","117,99",-,-,-,-,"102,99",-
"ASAHI svetlo pivo 0,33l","164,99",-,"151,99","157,99",-,-,-
"BAVARIA bezalkoholno 0,25l","124,99","119,99","105,99","103,99",-,-,-
"BIRRA MORETTI 0,33l","122,99","122,99",-,"114,99","90,99","114,99",-
"BUDWEISER 0,5l","74,99",-,"90,99","71,99","79,99","74,99",-
"CARLSBERG 0,33l","114,99","114,99","105,99","112,99",-,-,-
"ERDINGER 0,33l","194,99",-,-,-,-,-,-
"GRIMBERGEN Blanche 0,33l",-,-,-,-,-,"127,99",-
"GRIMBERGEN Double ambree 0,33l","89,99",-,-,-,-,"127,99",-
"HEINEKEN 0,25l","124,99","124,99","110,99","113,99","111,99","97,99",-
"HEINEKEN bezalkoholno 0,25l","134,99","133,99","110,99","113,99","104,99","132,99",-
"JELEN 0,5l","59,99",-,"57,99","59,99","62,99","59,99",-
"KABINET Plavo 0,33l","252,99","255,99","216,99","236,99","212,99","252,99",-
"KAPUZINER Weissbier 0,5l",-,-,-,"239,99",-,"232,99",-
LAŠKO staklo 500ml,"63,99",-,"71,99","59,99","66,99","69,99",-
"LAV 0,5l","62,99",-,"54,99","54,99","54,99","52,99",-
"LAV Premium 0,5l","57,99",-,"57,99","59,99","61,99","57,99",-
"MERAK 0,5l","54,99",-,"50,99","52,99","44,99","52,99",-
"NIKŠIĆKO 0,33l","112,99","109,99","93,99","101,99",-,-,-
"PERONI 0,33l","119,99",-,"103,99","114,99",-,"114,99",-
"PERONI Gran riserva Doppio Malto 0,5l","244,99",-,"219,99","236,99",-,-,-
"PERONI Gran riserva Rossa 0,5l","244,99",-,"219,99","239,99",-,-,-
"PILSNER URQUELL staklo 0,33l","149,99","149,99",-,"121,99",-,"137,99",-
"SALTO Belgrade Ipa 0,33l","274,99","299,99",-,"299,99",-,"274,99",-
"SOL pivo 0,33l",-,"224,99","218,99","217,99",-,"227,99",-
"STAROPRAMEN 0,5l","72,99",-,"79,99","79,99","67,99",-,-
"TUBORG Green 0,33l","117,99","109,99","103,99","103,99","103,99","109,99",-
"VALJEVSKO 0,33l",-,"77,99",-,"76,99",-,-,-
"ZAJEČARSKO 0,5l","61,99",-,"54,99","61,99","52,99","58,99",-
"BUDWEISER Tamno 0,5l","127,99","99,99","116,99","97,99","92,99","122,99",-
"LEFFE Tamno 0,33l","207,99","176,99","179,99","160,99",-,-,-
"NIKŠIĆKO Tamno 0,5l","82,99","81,99","89,99","81,99","90,99","82,99",-
"ZAJEČARSKO crno limenka 0,33l","84,99","72,99","71,99","63,99","67,99","79,99",-
"ZAJEČARSKO tamno 0,5l",-,-,"77,99","72,99","68,99",-,-
Voćni sok KNJAZ MILOŠ Golf borovnica 200ml,"92,99",-,"73,99",-,"77,99",-,-
Voćni sok KNJAZ MILOŠ Golf jabuka 200ml,"89,99",-,-,-,"76,99",-,-
Voćni sok KNJAZ MILOŠ Golf pomorandža 200ml,"92,99",-,"73,99",-,"76,99",-,-
"Voćni sok KNJAŽ MILOŠ Tube pomorandža 0,5l","84,99",-,"65,99","69,99","65,99","69,99",-
"Voćni sok KNJAŽ MILOŠ Tube zova limun 0,5l",-,-,"65,99",-,-,"69,99",-
Voćni sok NEXT Joy pomorandža 500ml,"82,99","82,99","80,99","78,99","76,99","77,99",-
"Voćni sok NEXT Lemonade basic 0,4l","77,99","72,99","68,99","70,99","68,99","70,99",-
Voćni sok RAUCH Bravo multivitamin 500ml,"66,99",-,"70,99",-,"69,99","66,99",-
Voćni sok RAUCH Bravo sunny orange 500ml,"66,99","80,99","70,99","55,99","69,99","66,99",-
Paradajz sok NECTAR premium life 100% 1l,"184,99",-,"161,99",-,-,"167,99",-
Voćni sok FRUVITA Premium jabuka 750ml,"104,99","104,99","118,99","99,99",-,"104,99",-
Voćni sok FRUVITA Premium kruška 750ml,"144,99","181,99",-,"172,99",-,"144,99",-
Voćni sok NECTAR Family ananas 1l,"172,99",-,"147,99","169,99",-,"169,99",-
Voćni sok NECTAR Family breskva 1l,"147,99","146,99","99,99","137,99","129,99","137,99",-
Voćni sok NECTAR Family immuno pomorandža limun đumbir 1l,"167,99",-,"147,99","152,99","148,99","152,99",-
Voćni sok NECTAR Family jagoda 1l,"177,99",-,"119,99","145,99","161,99","164,99",-
Voćni sok NECTAR Family pomorandža 1l,"172,99","172,99","114,99","159,99","152,99","159,99",-
Voćni sok NECTAR Life ananas 1l,"209,99","207,99","197,99","204,99",-,"204,99",-
Voćni sok NECTAR Life breskva 100% 1l,"177,99","176,99","173,99","167,99","129,99","167,99",-
Voćni sok NECTAR Life kruška 100% 1l,"209,99",-,"197,99",-,"201,99","199,99",-
Voćni sok NECTAR Life pomorandža 100% 1l,"209,99","159,99","203,99","149,99","194,99","194,99","194,99"
Voćni sok NECTAR premium crna ribizla 1l,"224,99",-,"193,99",-,"194,99","204,99",-
Voćni sok NEXT Classic jabuka 1l,"109,99","108,99","110,99","110,99","99,99","99,99",-
Voćni sok NEXT Classic pomorandža 1l,"174,99","173,99","171,99","162,99","154,99","162,99",-
Voćni sok NEXT Premium jabuka 100% 1l,"164,99","163,99","161,99","163,99","151,99","154,99",-
Voćni sok NEXT Premium moćne bobice 100% 1l,"224,99","222,99","224,99","214,99","206,99","214,99",-
Voćni sok NEXT Premium pomorandža 100% 1l,"214,99","212,99","214,99","204,99","200,99","204,99",-
Voćni sok RAUCH Bravo ACE 1l,-,-,-,"141,99",-,-,-
Voćni sok RAUCH Bravo borovnica 1l,-,-,-,"152,99","148,99",-,-
Voćni sok RAUCH Bravo jabuka 1l,-,-,-,-,-,"99,99",-
Voćni sok RAUCH Bravo pomorandža 1l,-,-,-,"137,99","133,99",-,-
Voćni sok RAUCH Happy day ananas 100% 1l,-,"205,99",-,"199,99","214,99","179,99",-
Voćni sok RAUCH Happy day crna ribizla 1l,-,"199,99","191,99","187,99","180,99","187,99",-
Voćni sok RAUCH Happy day multivitamin 100% 1l,"159,99","196,99","154,99","192,99","190,99","159,99",-
Voćni sok RAUCH Happy day višnja 1l,-,"191,99","189,99","179,99",-,"154,99",-
Voćni sok SOLEVITA jabuka mutni 1l,-,-,-,-,-,-,"199,99"
Voćni sok SOLEVITA Pomorandža 100% 1l,-,-,-,-,-,-,"139,99"
Sok LAVITA breskva 2l,"222,99",-,"204,99","184,99","186,99","212,99",-
Sok LAVITA koktel 2l,-,-,"208,99","183,99","203,99","212,99",-
"Voćni sok FRUVITA Hello multivitamin 1,5l","119,99","139,99","144,99","127,99",-,"119,99",-
"Voćni sok FRUVITA Hello pomorandža nektarina 1,5l","119,99",-,"145,99","132,99",-,"119,99",-
"Voćni sok FRUVITA Premium pomorandža 1,5l","299,99","297,99","229,99","292,99",-,-,-
"Voćni sok FRUVITA Voćna dolina dunja 1,5l",-,-,"138,99","141,99",-,"144,99",-
"Voćni sok FRUVITA Voćna dolina kajsija 1,5l","184,99","174,99","134,99","174,99",-,"174,99",-
"Voćni sok KNJAŽ MILOŠ Tube multivitamin 1,5l","139,99","129,99","121,99","131,99","128,99","132,99",-
"Voćni sok KNJAŽ MILOŠ Tube red mix 1,5l","139,99","129,99","123,99","131,99","128,99","132,99",-
"Voćni sok KNJAŽ MILOŠ Tube zova limun 1,5l","139,99",-,"121,99",-,"128,99","132,99",-
"Voćni sok NECTAR Family borovnica Koktel 1,5l","204,99","202,99","203,99","189,99","197,99","189,99",-
"Voćni sok NECTAR Family jabuka 1,5l","124,99","154,99","157,99","144,99","147,99","124,99","129,99"
"Voćni sok NECTAR Family pomorandža 1,5l","144,99","163,99","187,99","162,99","181,99","144,99","160,99"
"Voćni sok NECTAR Family voćni mix 1,5l","144,99","129,99","196,99","124,99","179,99","144,99","160,99"
"Voćni sok NECTAR Life pomorandža 100% 1,5l","269,99","296,99","270,99","259,99","238,99","259,99",-
Voćni sok NECTAR Voćne kapi jabuka 2l,"104,99","169,99","109,00","144,99","147,99","104,99",-
Voćni sok NECTAR Voćne kapi šumsko voće 2l,"114,99",-,"114,00","157,99","150,99","114,99",-
"Voćni sok NEXT breskva 1,5l","177,99","167,99","178,99","163,99","162,99","172,99",-
"Voćni sok NEXT jabuka 1,5l","157,99","119,00","156,99","117,00","140,99","149,99",-
"Voćni sok NEXT Joy multivitamin 1,5l","114,99","136,99","135,99","127,99","109,99","114,99",-
"Voćni sok NEXT Joy višnja 1,5l","114,99","136,99","137,99","127,99","109,99","114,99",-
"Voćni sok NEXT Lemonade basic 1,25l","132,99","132,99","99,99","119,99","122,99","119,99",-
"Voćni sok NEXT pomorandža 1,5l","187,99","154,00","181,99","149,00","176,99","174,99",-
"Voćni sok NEXT voćni miks economy 1,5l",-,-,-,-,-,"114,99",-
"Voćni sok RAUCH Bravo breskva 1,5l",-,-,-,"129,99",-,-,-
"Voćni sok RAUCH Bravo mango 1,5l","151,99","145,99",-,"142,99","129,99","142,99",-
"Voćni sok RAUCH Bravo multivitamin 1,5l","151,99",-,"153,99","136,99","132,99","142,99",-
Voćni sok RAUCH Bravo pomorandža 2l,-,-,-,-,-,"189,99",-
"Voćni sok RAUCH Bravo sunny lemon 1,5l","151,99",-,-,"142,99","129,99","142,99",-
Voćni sok RAUCH Happy day pomorandža 2l,-,-,"319,99",-,-,-,-
Voćni sok RAUCH Limessa jabuka 2l,"139,99",-,"163,99","146,99","143,99","139,99",-
Voćni sok RAUCH Limessa pomorandža 2l,"139,99",-,"163,99","154,99","143,99","139,99",-
"Belo vino RUBIN Chardonnay 0,75l","399,99","556,99","526,99","425,99","399,99","399,99",-
Belo vino RUBIN Graševina 750ml,-,-,"355,99","344,99",-,-,-
Belo vino RUBIN Špricer beli 500ml,"82,99","112,99","111,99","99,99","96,99","82,99",-
"Belo vino ALEKSANDROVIĆ Trijumf 0,75l",-,"1.837,00",-,"1.834,00","1.649,99",-,-
"Belo vino ALEKSIĆ Sevdah 0,75l","519,99","519,99","616,99","489,99","519,99","489,99",-
"Belo vino CHENET Colombard Chardonnay 0,75l","549,99","713,99","657,99","599,99","645,99","549,99",-
Belo vino ČOKA Graševina 750ml,-,-,"395,99","388,99",-,"369,99",-
Belo vino ČOKA Smederevka Ždrebac 1l,"249,99",-,"290,99","319,99","285,99","249,99",-
Belo vino ČOKA Ždrebac Graševina 1l,"249,99",-,-,-,-,"249,99",-
"Belo vino DOJA Enigma 0,75l","399,99","449,99",-,"419,99","359,99","399,99",-
Belo vino GRAND SUD Chardonnay 1l,"599,99","699,99","683,99","608,99","707,99","599,99",-
Belo vino KOVAČEVIĆ Orfelin 750ml,-,"529,99","470,99","479,99","489,99","499,99",-
"Belo vino PLANTAŽE Krstač 0,75l","499,99","499,99","499,99","479,99","496,99","479,99",-
Belo vino PLANTAŽE Moje vino 1l,"299,99","299,99","292,99","279,99","263,99","279,99",-
Belo vino PLANTAŽE Smederevka 1l,"319,99",-,"321,99","349,99","316,99","319,99",-
Belo vino TIKVEŠ Aleksandrija 750ml,"469,99","584,99","629,99","569,99","469,99","469,99",-
Belo vino TIKVEŠ Smederevka 1l,"334,99","349,99","299,99","319,99","349,99","279,99",-
Belo vino TIKVEŠ Temjanika 750ml,"629,99","629,99","499,99","589,99","499,99",-,-
Belo vino VRŠAČKI VINOGRADI Banatski rizling 1l,"419,99",-,"269,99","364,99","289,99","399,99",-
Belo vino ZVONKO BOGDAN Pinot blanc 750ml,-,-,"1.599,00","1.869,00",-,-,-
"Penušavo vino CHENET Ice edition 0,75l","649,99","944,99","834,99","839,99","822,99","649,99",-
"Penušavo vino MOET & Chandon Brut 0,75l","9.699,99",-,"6.999,00","8.099,00",-,-,-
Crno vino Carica Milica 1l Rubin,"349,99",-,"319,99","259,99",-,"324,99",-
Crno vino RUBIN Car Lazar 1l,"349,99",-,"346,99","259,99",-,"324,99",-
"Crno vino RUBIN Medveđa krv 0,75l","459,99","417,99","367,99","439,99","350,99","459,99",-
"Crno vino RUBIN Pinot noir 0,75l","569,99","429,99","523,99","419,99","399,99","539,99",-
"Crno vino RUBIN Vranac 0,75l","409,99",-,"380,99",-,"365,99","389,99",-
"Crveno vino RUBIN Merlot 0,75l","399,99","429,99","523,99","419,99","399,99","399,99",-
"Crno vino ALEKSIĆ Nostalgija 0,75l","499,99","499,99","616,99","489,99","519,99","489,99",-
"Crno vino CHENET Cabernet Syrah 0,75l","549,99","644,99","657,99","629,99","645,99","549,99",-
Crno vino GRAND SUD Cabernet 1l,"739,99",-,"683,99","512,99",-,"689,99",-
Crno vino KOVAČEVIĆ Orfelin 750ml,"499,99","499,99","470,99","484,99","489,99","484,99",-
"Crno vino PLANTAŽE Vranac 0,75l","399,99","419,99","434,99","424,99","449,99","399,99",-
"Crno vino PLANTAŽE Vranac Pro corde 0,75l","729,99","919,99","897,99","849,99","881,99","729,99",-
Crno vino TIKVEŠ Kratošija 1l,"369,99","369,99","299,99","349,99","339,99","349,99",-
Crno vino TIKVEŠ Tga Za Jug 750ml,"469,99","599,99","594,99","569,99","574,99","469,99",-
"Crno vino VINARIJA ČOKA Lederer Merlot 0,75l","389,99",-,-,"539,99","529,99","389,99",-
Crno vino VINARIJA ČOKA Ždrebac Vranac 1l,"219,99",-,"292,99","299,99","285,99","219,99",-
Crno vino VINARIJA ČOKA Ždrepčeva krv 1l,"349,99","289,99",-,"285,99","331,99","269,99","317,99"
Crno vino ZVONKO BOGDAN Život teče 750ml,"1.629,99","1.626,00","1.499,99","1.499,00","1.439,99","1.499,99",-
"Crveno vino DOJA Enigma 0,75l","399,99","519,99",-,"419,99","359,99","399,99",-
"Crveno vino PLANTAŽE Merlot 0,75l","499,99","499,99","489,99","469,99","472,99","469,99",-
"Roze vino RUBIN Rose 0,75l","369,99","359,99","326,99","349,99","312,99","349,99",-
Roze vino RUBIN Rose špricer 500ml,"82,99",-,"104,99","99,99","96,99","82,99",-
"Roze vino ALEKSANDROVIĆ Trijumf 0,75l",-,"1.258,00",-,"1.214,00",-,-,-
"Roze vino CHENET Rose 0,75l","709,99","703,99","631,99","624,99",-,"619,99",-
Roze vino ČOKA Ždrebac Rose 1l,"299,99",-,-,"279,99","271,99","279,99",-
"Roze vino DOJA Enigma 0,75l","519,99","519,99",-,"419,99","359,99","419,99",-
Roze vino KOVAČEVIĆ Orfelin 750ml,"529,99","529,99","470,99","499,99","489,99","499,99",-
Roze vino PLANTAŽE Moje vino 1l,"299,99","299,99","295,99","279,99","263,99","279,99",-
Roze vino TIKVEŠ Rose 1l,"299,99","374,99","299,99","352,99","299,99","299,99",-
Roze vino TRI MORAVE Temet 750ml,"1.499,99","1.542,00","1.379,99","1.529,00",-,"1.449,99",-
Kupinovo vino ČOKA 750ml,"449,99","559,99","523,99","554,99","551,99","449,99","549,99"
Vino od aronije ČOKA 750ml,"559,99",-,"452,99","452,99","503,99","529,99",-
Vino od višnje ČOKA 750ml,"499,99","499,99","423,99","465,99","466,99","459,99",-
Vino VINARIJA ČOKA Di Luna Sangria white 1l,"399,99","399,99","377,99","299,99","289,99","289,99",-
CEDEVITA crvena pomomoradža 200g,"159,99","149,99","149,90","144,99","169,99","159,99",-
CEDEVITA crvena pomoradža 900g,-,"599,99","621,99","598,99","599,99","599,99",-
CEDEVITA Go limeta 340ml,"94,99","94,99","92,99","94,99","91,99","94,99",-
CEDEVITA Go pomorandža 340ml,"94,99","94,99","92,99","94,99","91,99","94,99",-
CEDEVITA limeta 200g,"159,99",-,-,-,-,"159,99",-
CEDEVITA limun 455g,"389,99","389,99","388,99","379,99","389,99","379,99",-
CEDEVITA limun&zova 200g,"159,99",-,"149,90",-,"169,99","159,99",-
CEDEVITA pomorandža 455g,"389,99","377,99","388,99","377,99","389,99","379,99",-
CEVITANA limun 1kg,"499,99",-,-,-,-,"499,99",-
CEVITANA limun 500g,"249,99",-,"214,99",-,-,"249,99",-
CEVITANA narandža 200g,"139,99",-,"114,99",-,-,"139,99",-
Gazirana voda DONAT 1l,"224,99","222,99","219,99","204,99","209,99","204,99",-
Gazirana voda KNJAZ MILOŠ 500ml,"39,99","39,99","40,99","37,99","39,99","37,99",-
"Gazirana voda KNJAZ MILOŠ cink magnezijum 0,5l",-,-,-,-,-,"47,99",-
"Gazirana voda KNJAZ MILOŠ limun 0,5l","50,99","49,99","47,99","46,99",-,"47,99",-
Gazirana voda KNJAZ MILOŠ Remix limunada 475ml,"77,99","77,99",-,"69,99",-,-,-
Gazirana voda KNJAZ MILOŠ staklo 250ml,"57,99","52,99","46,99","41,99","43,99","47,99",-
"Gazirana voda MIVELA blaga mg 0,5l","51,99","51,99","51,99","49,99","54,99","49,99",-
Gazirana voda ROMERQUELLE 500ml,-,-,"42,99",-,-,"44,99",-
Gazirana voda ROMERQUELLE limunska trava 500ml,"67,99","67,99","60,99","59,99",-,"59,99",-
Gazirana voda VRNJCI 500ml,"42,99","42,99","38,99","39,99","35,99","39,99",-
"Gazirana voda AQUA HEBA 1,5l","54,99","54,99","47,99","47,99","47,99","47,99",-
"Gazirana voda KNJAZ MILOŠ limun 1,25l","62,99","62,99","46,99","56,99","56,99","56,99",-
"Gazirana voda KNJAZ MILOŠ šumsko voće 1,25l","62,99","62,99","46,99","56,99","56,99","56,99",-
"Gazirana voda MIVELA blaga mg 1,35l","59,99","59,99",-,"59,99","64,99",-,-
"Gazirana voda ROSA 1,5l","51,99","51,99","53,99","49,99","55,99","49,99",-
Gazirana voda VRNJCI 2l,"57,99","54,99","55,99","52,99","53,99","54,99",-
"Gazirana voda KNJAZ MILOŠ cink magnezijum 1,5l",-,-,-,-,-,"54,99",-
AQUARIUS lemon zinic 400ml,"67,99","67,99","64,99","59,99","59,99","59,99",-
JANA vitamin antiox crna ribizla 500ml,"79,99",-,-,"69,99",-,"69,99",-
JANA vitamin immuno 500ml,"79,99","79,99","77,99","69,99",-,"69,99",-
Negazirana voda AQUA VIVA 250ml,"52,99",-,"45,99",-,"43,99","44,99",-
Negazirana voda AQUA VIVA junior sport 330ml,"44,99","47,99","40,99","39,99","39,99","39,99",-
Negazirana voda MIVELA 500ml,"51,99","51,99","49,99","49,99",-,"49,99",-
Negazirana voda ROSA sport 330ml,"39,99","39,99","35,99","36,99","36,99","36,99",-
Voda JANA 500ml,"49,99",-,"47,99",-,-,"47,99",-
Voda JANA limun i limeta 500ml,-,"76,99","66,99","72,99",-,"72,99",-
VODA VODA 500ml,"52,99","51,99","54,99","47,99","45,99","49,99",-
AQUA VIVA BCAA zero 750ml,"99,99","99,99","89,99","94,99","93,99","94,99",-
Negazirana voda AQUA VIVA 750ml,"55,99","55,99","52,99","51,99",-,"52,99",-
Negazirana voda AQUA VIVA recharge 750ml,"99,99","98,99","89,99","94,99","93,99","94,99",-
Negazirana voda POWERADE Mountain blast 500ml,"117,99","113,99","113,99","112,99","109,99",-,-
Voda AQUA VIVA Immuno 500ml,"77,99","77,99",-,"69,99","69,99","69,99",-
Voda AQUA VIVA Relax 500ml,-,-,-,-,-,"69,99",-
Voda ROSA negazirana 750ml,"59,99","59,99","55,99","52,99","55,99","52,99",-
"Negazirana voda AQUA VIVA 1,5l","53,99","48,99","53,99","47,99","55,99","53,99","47,99"
"Negazirana voda MIVELA 1,35l","59,99","59,99",-,"58,99",-,-,-
"Negazirana voda VRNJCI 1,5l","47,99","43,99","48,99","45,99","46,99","45,99",-
Voda JANA 1.5l,"56,99","56,99","55,99","52,99","60,99","52,99",-
"Voda JANA limun i limeta 1,5l",-,"102,99","111,99","110,99","104,99","104,99",-
VODA VODA 1.5l,"62,99","57,99","59,99","53,99","58,99","57,99",-
"Gazirana voda KNJAZ MILOŠ Remix breskva 1,5l","129,99","128,99","127,99","119,99","119,99","119,99",-
"Gazirana voda KNJAZ MILOŠ Remix limunada 1,5l",-,"109,99","129,36","109,99",-,"119,99",-
"Negazirana voda AQUA VIVA 2,5l","82,99","64,00","69,99","62,00","79,99","79,99",-
Negazirana voda ROSA 6l,"199,99","193,99","194,99","186,99","187,99","189,99",-
Brendi RUBIN Rock*98,-,-,"689,99","639,99","816,99",-,-
Vinjak cola RUBIN 0.33l,"97,99",-,"106,99","114,99","107,99","97,99",-
Vinjak RUBIN 1l,"1.349,99",-,"1.149,99","1.336,00","1.174,99","1.349,99",-
Brendi BADEL 1l,"1.099,99",-,"1.000,99","1.019,00","979,99","1.099,99",-
Brendi NAPOLEON BELLENAT kutija 0.7l,-,"689,99","689,99","661,99",-,"619,99",-
Brendi STOCK v.s.o.p. 0.7l,"1.439,99",-,"905,99","999,99","1.259,99","1.199,99",-
METAXA 5 stars 0.7l,"1.879,99",-,"1.599,00",-,-,-,-
Brendi MAJESTET 36% 0.7l,-,-,-,-,-,-,"499,99"
Džin tonik BARMAN 330ml,"96,99",-,"107,99","87,99","108,99","96,99",-
Džin GIBSONS 0.7l,"1.149,99",-,"1.034,99","752,99",-,"999,99",-
Džin GORDONS 0.7l,"1.249,99","1.389,00","1.249,99","1.289,00","1.399,99","1.249,99",-
Džin LORDSON dry 0.7l,"639,99","549,99","591,99","523,99","626,99","579,99",-
"Džin tonik BEEFEATER pink limenka 0,25l","199,99","199,99","188,99","189,99",-,"189,99",-
"Liker AMARO MONTENEGRO bitter 0,7l","2.139,99","1.975,00","1.707,99","2.079,00",-,-,-
Liker BAILEYS 0.7l,"1.899,99","2.089,00","1.949,99","1.889,00","1.999,99","1.899,99",-
Liker BECHEROVKA 0.7l,"1.549,99","1.447,00",-,"1.499,00",-,-,-
Liker CAMPARI bitter 1l,"2.799,99",-,-,-,-,"2.699,99",-
"Liker JAGDTRAUM 0,7l","969,99",-,"869,99","939,99",-,-,-
Liker JAGERMEISTER 0.7l,-,"1.849,99","1.899,99","1.799,00","1.949,99","1.899,99","1.799,99"
Liker MARIE BRIZARD Blue Curacao 0.7l,-,"1.455,00",-,"1.459,00",-,-,-
Liker MARIE BRIZARD Triple sec 0.7l,-,-,-,"1.435,00",-,-,-
Liker OR čokolada 0.7l,"729,99",-,"663,99","730,99",-,"679,99",-
Liker PINA COLADA 0.7l,"1.199,99",-,"1.003,99","1.149,00",-,"1.149,99",-
"Liker SELECT bitter 0,7l",-,-,-,"1.849,00",-,-,-
Liker SIMEX Mistique višnja 700ml,"689,99","724,99","583,99","659,99","559,99","659,99",-
Pelinkovac BADEL 1l,"1.079,99",-,"1.041,99",-,-,-,-
Pelinkovac GORKI LIST 1l,"1.359,99","1.321,00","1.259,99","1.156,00","1.104,99","1.219,99",-
Pelinkovac SIMEX 1l,"719,99",-,"696,99","949,99","799,99","719,99",-
Vermouth CALDIROLA Bianco 1l,"549,99","522,99","527,99","499,99","529,99","499,99",-
Liker ARMILAR Amaretto 28% 0.7l,-,-,-,-,-,-,"599,99"
QUEEN MARGOT Krem liker sa viskijem 17% 0.7l,-,-,-,-,-,-,"749,99"
Rakija RUBIN loza 1l,"949,99",-,"961,99","1.013,00","968,99","949,99",-
Rakija 13. JULI loza 1l,"2.099,99","2.099,00","1.622,99","1.499,00","1.647,99","1.899,99",-
Rakija PROKUPAC stomaklija 1l,"1.529,99","1.545,00","1.197,99","1.199,00","1.079,99","1.199,99",-
Rakija RIZNICA jabuka 0.7l Nectar,-,-,"737,99",-,-,-,-
Rakija RIZNICA viljamovka 0.7l Nectar,"1.149,99",-,"1.091,99",-,-,-,-
Rakija SIMEX kajsija 700ml,"1.409,99",-,"1.221,99","1.299,00","1.069,99","1.299,99",-
Rakija Simex viljamovka 0.7l,"1.149,99",-,-,"1.201,00","1.166,99","1.149,99",-
Rakija SOKOLOVA šljiva 0.7l,"3.829,99","3.499,00","2.564,99","3.249,00",-,"2.849,99",-
Rakija TAKOVO kajsija 0.7l,"1.279,99",-,"1.189,99","1.195,00",-,-,-
Rakija VUČIJA RAKIJA dunja 0.7l,-,-,"2.699,00","2.839,00",-,"3.299,99",-
Rakija VUČIJA RAKIJA šljiva 0.7l,-,-,-,"2.313,00","2.368,99","2.499,99",-
Rakija ŽUTA OSA šljiva 0.7l,"2.449,99","2.399,00",-,"2.329,00","2.222,99","2.329,99",-
Uzo OUZO 12 0.7l,-,"1.399,00",-,"1.299,00",-,"1.299,99",-
Rum BACARDI Superior 0.7l,"2.279,99","2.279,00","1.999,00","2.169,00",-,-,-
Rum HAVANA CLUB anejo blanco 0.7l,"2.199,99","2.199,00","1.899,00","2.099,00",-,"2.099,99",-
Rum OLD PASCAS blanco 0.7l,"1.399,99",-,"1.227,99","1.249,00",-,"1.199,99",-
Rum SOCCARON 0.7l,"969,99","974,99",-,"805,99","972,99",-,-
Rum JAMES COOK tamni 0.7l,-,-,-,-,-,-,"459,99"
Tekila AGAVITA BLANCO 700ml,"1.879,99","1.469,00","1.617,99","1.333,00","1.778,99","1.699,99",-
Tekila OLMECA BLANCO 700ml,"2.199,99",-,"1.899,00","1.986,00","1.942,99","1.999,99",-
Tekila TWO FINGERS 0.7l,"2.469,99",-,-,"2.349,00",-,-,-
Viski BALLANTINES 1l,"1.899,99","2.399,00","2.199,00","2.329,00","2.115,99","1.899,99",-
Viski CANADIAN SPEC OLD 0.7l,"899,99","899,99","963,99","884,99",-,"899,99",-
Viski CHIVAS kutija 1l,"5.699,99","5.699,00",-,"5.399,00","4.979,99","5.399,99",-
Viski FOUR ROSES burbon 0.7l,"2.499,99","2.499,00","2.099,00","2.249,00",-,"2.249,99",-
Viski GLENFIDDICH 15y 0.7l,"6.949,99",-,-,"6.099,00",-,-,-
"Viski J & B Rare 0,7l","1.899,99","1.589,00",-,"1.499,00",-,"1.799,99",-
Viski JACK DANIELS 1l,"4.049,99","4.059,00","4.039,99","3.849,00","3.799,99","3.849,00",-
Viski JACK DANIELS Single barrel 0.7,"6.399,00","5.969,00",-,"5.300,00",-,-,-
Viski JAMESON 1l,"3.199,99","3.199,00","2.999,00","2.899,00",-,"2.899,99",-
Viski JIM BEAM burbon 1l,"3.649,99","2.999,00","2.290,99","2.579,00",-,-,-
Viski JOHNNIE WALKER red kutija 0.7l,"1.399,99","1.569,00","1.499,99","1.499,00","1.499,99","1.399,99",-
Viski JOHNNIE WALKER red naked 0.7l,-,"1.549,00",-,"1.469,00",-,-,-
Viski LABEL 5 kutija 0.7l,"1.269,99",-,"1.379,99","1.363,00",-,"1.269,99",-
Viski LONG JOHN kutija 0.7l,"849,99",-,"963,99","899,99",-,"849,99",-
Viski TEACHERS 1l,"1.599,99",-,"1.649,99","1.329,00",-,"1.599,99",-
Viski WINCHESTER sa poklonom 0.7l,"1.219,99",-,"1.072,99","1.085,00","1.161,99","1.099,99",-
Viski QUEEN MARGOT brended 0.7l,-,-,-,-,-,-,"799,99"
