,IDEA,MAXI,UNIVEREXPORT,TEMPO,DIS,RODA,LIDL
Prašak za pecivo BONITO 13g,-,-,"14,99",-,-,-,-
Prašak za pecivo CENTROPROIZVOD (6 komada),"97,99","103,99","114,99","91,99","94,99","94,99","84,99"
Prašak za pecivo DR.OETKER 10g 6+1gratis,"169,99",-,"189,99",-,"159,99","162,99",-
Preliv DR.OETKER za tortu providni 12g,"75,99",-,"76,99",-,-,"75,99",-
Preliv TWISTER čokoladni 350g,-,-,"224,99",-,-,-,-
Fil za krempitu DR.OETKER 230g,"184,99","184,99","175,99","176,99",-,"182,99",-
Smeša za Brownies DR.OETKER 450g,"192,99",-,"175,99","182,99","202,99","182,99",-
Trileće DR.OETKER preliv od karamele 315g,"289,99","289,99","287,99","276,99","288,99","282,99",-
Trileće DR.OETKER preliv od kupine 315g,"289,99","289,99","287,99","267,99","273,99","267,99",-
Soda bikarbona ALEVA 20g,"24,99",-,"16,99",-,-,"15,99",-
Soda bikarbona C 500g,"112,99","112,99","117,99","114,99","109,99","112,99",-
Čvrstin C 150g,"104,99","104,99","94,99","99,99","94,99","99,99",-
Džemfix BONI 2:1 extra 25g,-,-,"79,99","87,99",-,-,-
Džemfix DR.OETKER 2:1 extra 25g,-,"129,99","139,99","112,99","99,99","112,99",-
Gustin DR.OETKER 200g,-,"197,99",-,"167,99",-,"167,99",-
Želatin DR.OETKER mleveni beli 10g,"104,99","104,99","116,99","92,99","94,99","92,99",-
Vanilin šećer ALEVA 10g,"34,99",-,"17,99",-,-,"22,99",-
Vanilin šećer BONITO 60g 5+1 kom,-,-,"14,99",-,-,-,-
Vanilin šećer C 6x10g,"114,99","118,99","126,99","99,99","94,99",-,-
Vanilin šećer DR.OETKER 6+1gratis 6x10g,"169,99",-,"194,99",-,"159,99","162,99",-
BARILLA farfalle n.65 500g,"274,99","234,99","221,99","254,99",-,"254,99",-
BARILLA Pene rigate n.73 500g,"229,99","229,99","139,99","219,99","196,99","219,99",-
BARILLA Pipe rigate 500g,"227,99","227,99","189,99","219,99",-,"219,99",-
DEL CASTELLO Elicoidali 500g,"254,99","254,99","149,99","234,99",-,"234,99",-
DEL CASTELLO Penne rigate 500g,"254,99","234,99","149,99","234,99",-,"234,99",-
DEL CASTELLO Tagliatelle 500g,"367,99","367,99","355,99","342,99",-,"342,99",-
DIVELLA Filini n.79 500g,"173,99","217,99","201,99","187,99",-,"173,99",-
DIVELLA Gnocchi 500g,"192,99","217,99",-,"187,99",-,"192,99",-
DIVELLA Penne ziti rigate 500g,"159,99","220,99","205,99","154,99",-,"159,99",-
Makaroni DANUBIUS Fusilli Integrale 400g,"129,99","107,99","113,99","117,99","109,99",-,-
Makaroni DANUBIUS grkljančić 400g,"89,99","89,99","69,99","79,99","69,99","79,99",-
Makaroni DANUBIUS Mini Fusillini 400g,"107,99","132,99","99,99","117,99","124,99","107,99",-
Makaroni DANUBIUS Penne Integrale 400g,"129,99","107,99","113,99","117,99","122,99","117,99",-
Makaroni DANUBIUS pužic 400g,"69,99","89,99","82,99","79,99","84,99","69,99",-
Makaroni DANUBIUS spirala 400g,"69,99","94,99","69,99","79,99","79,99","69,99",-
Makaroni DURUM kosi makaron 500g,-,"117,99","106,99","112,99",-,-,-
Makaroni DURUM spirala 500g,"117,99",-,"107,99",-,-,-,-
Makaroni PANONA orhideja 400g,"92,99",-,"69,99",-,-,"79,99",-
Makaroni SENTELLA sečena 350g,"76,99",-,"62,99",-,-,-,-
CASTELLO Mlinci 250g,-,-,-,-,-,-,"79,99"
COMBINO Njoke 500g,-,-,-,-,-,-,"149,99"
COMBINO testenine bez glutena 500g,-,-,-,-,-,-,"139,99"
TIRADELL Durum pužići 1kg,-,-,-,-,-,-,"189,99"
TIRADELL spirala vitamizirana 500g,-,-,-,-,-,-,"64,99"
Rezanci DANUBIUS čipkasti 500g,-,-,-,-,"117,99","109,99",-
Rezanci KIKINDSKI MLIN fida 400g,"139,99",-,-,-,"109,99","109,99",-
BARILLA bavette n.13 500g,"227,99","227,99",-,"209,99",-,"219,99",-
BARILLA spaghetti n.5 1kg,"429,99",-,"366,99",-,-,"399,99",-
BARILLA spaghetti n.5 500g,"229,99","215,99","139,99","216,99","196,99","219,99",-
BARILLA tagliatelle 500g,"444,99","439,99","369,99","487,99","424,99","489,99",-
BORZAL flekice 200g,"119,99","119,99","98,99","107,99","104,99","107,99",-
BORZAL traka nareckana 200g,"97,99",-,"84,99","107,99","104,99","97,99",-
DEL CASTELLO spaghetti n.3 500g,"254,99","254,99","149,99","223,99",-,"239,99",-
DIVELLA Ristorante spaghetti 500g,"164,99","220,99","202,99","154,99",-,"164,99",-
DIVELLA Vermicelini spaghetti 500g,"192,99","217,99","229,99","187,99",-,"192,99",-
Špagete DANUBIUS 500g,-,-,"136,99",-,-,"137,99",-
Špagete PANONA 500g,"92,99","92,99","69,99","79,99",-,"89,99",-
TIRADELL špagete vitamizirane 500g,-,-,-,-,-,-,"64,99"
BARILLA Lasagne 500g,"569,99",-,"414,99","544,99","517,99","544,99",-
Kore za lazanje DURUM 500g,"389,99","379,99","376,99","379,99","319,99","369,99",-
COMBINO Lazanje 500g,-,-,-,-,-,-,"219,99"
COMBINO Taljatele 500g,-,-,-,-,-,-,"189,99"
Ulje DIJAMANT 1l,"199,99","199,99","196,99","196,99","198,99","196,99",-
Ulje DIJAMANT Mediteran 1l,"299,99","384,99","376,99","369,99","384,99","299,99",-
Ulje ISKON 1l,-,"199,99","199,99","196,99",-,-,-
Maslinovo ulje CARAPELLI 1l,"1.919,99","1.919,00","1.699,99","1.619,00",-,"1.619,99",-
Maslinovo ulje MONINI Amfora 1l,"1.439,99","1.626,00","1.657,99","1.537,00",-,"1.439,99",-
Maslinovo ulje MONINI extra 500ml,"819,99","1.363,00","979,99","1.219,00",-,"819,99",-
Maslinovo ulje MONINI extra virgin 1l,"2.069,99","1.399,00","1.099,99","1.967,00","1.849,99","2.019,99",-
Maslinovo ulje YBARRA 1l,"1.199,99",-,"1.454,99",-,-,"1.199,99",-
Ulje MONINI od koštica grožđa 1l,"2.049,99",-,"1.099,99",-,-,-,-
Ulje OLITALIA od koštica grožđa 500ml,"1.169,99","961,99","905,99","787,99",-,"949,99",-
Palmino ulje DIJAMANT ulje za prženje 3l,"1.499,99","1.514,00","1.721,99","1.530,00","1.424,99","1.499,99",-
Kokosovo ulje BEYOND 310g,"929,99",-,"838,99",-,-,"839,99",-
Kokosovo ulje LUČAR 150g,"409,99","409,99","353,99","379,99",-,"379,99",-
Kokosovo ulje SANATERRA organsko 150g,"397,99",-,"452,99",-,"399,99","397,99",-
Kokosovo ulje SANATERRA organsko 560g,"1.479,99",-,"1.361,99",-,-,"1.369,99",-
ALPRO mleko od badema 1l,"379,99","399,99","399,99","399,99","419,99","379,99",-
ALPRO napitak od badema bez šečera 1l,"379,99","399,99","399,99","399,99","419,99","379,99",-
Sojino mleko ALPRO kokos badem 1l,"384,99","409,99","409,99","409,99","369,99","379,99",-
ALPRO Choco protein 1l,"429,99","399,99","404,99","399,99",-,-,-
